"索引","DMM-1 时间 (s)","DMM-1 电阻 (Ω)"
"135","3.258931939","20.687111567908"
"136","3.301024","22.3022941339168"
"137","3.321067879","23.0450370334297"
"138","3.341109879","23.7544366574123"
"139","3.361153909","24.4134012507126"
"140","3.381193879","25.020362457221"
"141","3.423286","26.0895529517423"
"142","3.44332806","26.4884932912492"
"143","3.46337006","26.8207741719689"
"144","3.48341003","27.0813430962026"
"145","3.50345","27.2742016519838"
"146","3.54554","27.4599231389602"
"147","3.565581969","27.4349390860872"
"148","3.585623969","27.3395219093572"
"149","3.605668","27.1778912636392"
"150","3.62571","26.9500003323244"
"151","3.667805","26.2545765695799"
"152","3.687848545","25.8184552186002"
"153","3.707888515","25.304139377455"
"154","3.727929242","24.7134899453324"
"155","3.747971242","24.0712042570921"
"156","3.79006","22.6221193152391"
"157","3.810103576","21.8854550385304"
"158","3.830143545","21.1311840206456"
"159","3.850185545","20.3858746874095"
"160","3.870227545","19.6774038656778"
"161","3.912318","18.3380743044434"
"162","3.932360303","17.7801866427607"
"163","3.952404363","17.2823388185799"
"164","3.972446363","16.8425891746275"
"165","3.992486333","16.4519945064954"
"166","4.03458","15.7619373964438"
"167","4.054622545","15.4935981436357"
"168","4.074666333","15.2561677091489"
"169","4.094705939","15.0475282574166"
"170","4.114748879","14.8717442093431"
"171","4.156839","14.5932063277857"
"172","4.176879303","14.4910032054702"
"173","4.196925363","14.403944024274"
"174","4.216969485","14.3415066835653"
"175","4.237009454","14.3055872560241"
"176","4.279098","14.254339084958"
"177","4.299141606","14.2394292268854"
"178","4.319183606","14.2289152020308"
"179","4.339223606","14.2234684591339"
"180","4.359267636","14.2336670878832"
"181","4.401358","14.2767600399484"
"182","4.421401879","14.2861516977432"
"183","4.441443879","14.2953215926621"
"184","4.461485848","14.3077945224161"
"185","4.481525818","14.3218801610844"
"186","4.523619","14.343158309028"
"187","4.543660969","14.3433221671529"
"188","4.563705","14.3382487253585"
"189","4.58374903","14.337462699165"
"190","4.60378903","14.3377041742965"
"191","4.645884","14.3201245383167"
