"索引","DMM-1 时间 (s)","DMM-1 电阻 (Ω)"
"1","0","13.3038840973732"
"2","0.020047","13.3038840973732"
"3","0.040092757","13.3034639924765"
"4","0.060136909","13.3037264040396"
"5","0.08017903","13.3043670332076"
"6","0.12227","13.3040664302903"
"7","0.142312","13.2979718293395"
"8","0.162354151","13.2985311478823"
"9","0.182394242","13.2997779108017"
"10","0.202438394","13.2995499946554"
"11","0.244531","13.299801318406"
"12","0.264571272","13.2994797718428"
"13","0.284611363","13.3018796672647"
"14","0.304655424","13.3034861681015"
"15","0.324699576","13.3021248311194"
"16","0.366797","13.3055553515199"
"17","0.386839394","13.3070719180601"
"18","0.406879485","13.3086981307596"
"19","0.426919576","13.3084541988547"
"20","0.446961818","13.3083901359301"
"21","0.489054","13.30934738386"
"22","0.509094333","13.3088595200502"
"23","0.529138545","13.3086488515869"
"24","0.549178636","13.3091428752933"
"25","0.569222788","13.3079540152516"
"26","0.611312","13.3087412500357"
"27","0.631354727","13.3093954310534"
"28","0.651396363","13.3098882227805"
"29","0.671435969","13.3098303197526"
"30","0.691479212","13.3097995202697"
"31","0.733571","13.3070152470115"
"32","0.753615091","13.3057130448726"
"33","0.773659151","13.3045155609757"
"34","0.793703182","13.3044009868992"
"35","0.813747212","13.3032207507127"
"36","0.855838","13.3039254428825"
"37","0.875877636","13.3040730768718"
"38","0.895920636","13.3031638761491"
"39","0.915964666","13.3019516085188"
"40","0.936008697","13.3011705336432"
"41","0.9781","13.2982975579178"
"42","0.998141788","13.2978343337013"
"43","1.018185818","13.2975423546074"
"44","1.038229848","13.2967514238974"
"45","1.058271848","13.296695984829"
"46","1.10036","13.2961366662272"
"47","1.120401697","13.2971949364451"
"48","1.140445727","13.2970889862254"
"49","1.160487727","13.2962401524883"
"50","1.180531757","13.2955995232528"
"51","1.222626","13.2942837693614"
"52","1.242669697","13.2942418820652"
"53","1.262711697","13.2935433498027"
"54","1.282751666","13.2932784742534"
"55","1.302793697","13.2936603878361"
"56","1.344888","13.2931349097454"
"57","1.364931697","13.2939332323032"
"58","1.384973727","13.2944063123374"
"59","1.405017757","13.2940588941873"
"60","1.425061788","13.2939406241787"
"61","1.467154","13.293893808967"
"62","1.487195909","13.293643717178"
"63","1.507237909","13.2933751457003"
"64","1.527281969","13.2933603619492"
"65","1.547323969","13.2942190514905"
"66","1.589414","13.295021069986"
"67","1.609457818","13.295435015016"
"68","1.629499424","13.2951812272893"
"69","1.64954106","13.2954756703314"
"70","1.669582666","13.2954596546011"
"71","1.71167","13.2953142810489"
"72","1.731713515","13.2953561683436"
"73","1.751757545","13.2953672561569"
"74","1.771801576","13.2957282260789"
"75","1.791841545","13.2960793401668"
"76","1.833928","13.2972078331651"
"77","1.853971757","13.2974603889125"
"78","1.874013788","13.2974998122487"
"79","1.894056576","13.2980726826027"
"80","1.914098576","13.298666496604"
"81","1.956188","13.2982192881341"
"82","1.976228182","13.2990779776754"
"83","1.996272212","13.2990003629823"
"84","2.016314212","13.2989547797498"
"85","2.036356212","13.2999403631545"
"86","2.078446","13.300323508703"
"87","2.098489363","13.3011218312608"
"88","2.118529363","13.3003419883919"
"89","2.138573394","13.3000647930593"
"90","2.158617424","13.2994635871825"
"91","2.20071","13.2974727087051"
"92","2.22075406","13.2975453954812"
"93","2.240798091","13.2969639012724"
"94","2.26083806","13.2964550938398"
"95","2.280880091","13.2968690388697"
"96","2.322976","13.2975166994404"
"97","2.343019515","13.2969487571233"
"98","2.363059485","13.2962995041924"
"99","2.383103515","13.2952313784029"
"100","2.403145515","13.2945919813039"
"101","2.445238","13.2946535802537"
"102","2.465281757","13.2946351005688"
"103","2.485325788","13.2943554413367"
"104","2.505369969","13.2940720861676"
"105","2.525414","13.2938983771292"
"106","2.567504","13.2935743666533"
